generation,Wmax,Wmin,Pmax,Pmin,Fmax,Fmin,Wmean,Pmean,Fmean,Max_CVM,Mean_CVM,Min_CVM,Fit_maxPareto,Fit_meanPareto,fitValue,NWmax,NWmin,NPmax,NPmin,NFmax,NFmin,NWmean,NPmean,NFmean
40,6.940406,6.339624,516.617288,342.630095,2.809359,1.835905,6.597780,423.517236,2.274816,8.000000,5.350000,3.000000,520.963755,413.840842,346.603890,3.850764,3.517431,286.636201,190.102404,1.558724,1.018620,3.660665,234.981241,1.262142
41,6.940406,6.443777,467.977498,342.630095,2.494347,1.815817,6.683241,399.647467,2.155592,8.000000,5.400000,2.000000,470.787424,394.600232,345.258120,4.658348,4.325015,314.102984,229.970748,1.674187,1.218763,4.485741,268.240380,1.446817
42,6.940406,6.513833,441.278577,342.630095,2.389079,1.821716,6.709084,392.536279,2.118050,8.000000,5.350000,3.000000,442.863407,387.249169,344.074135,5.423385,5.090051,344.824728,267.738647,1.866879,1.423529,5.242625,306.736431,1.655091
43,6.940406,6.443777,467.977498,342.630095,2.489912,1.811079,6.773884,379.384714,2.045884,8.000000,4.650000,2.000000,470.785713,383.198683,345.256106,4.658348,4.325015,314.102984,229.970748,1.671210,1.215583,4.546580,254.640173,1.373182
44,6.940406,6.384445,494.676419,342.630095,2.780057,1.807497,6.743629,386.223052,2.092472,7.000000,5.150000,3.000000,498.642397,384.540529,346.179474,4.161207,3.827873,296.589400,205.428135,1.666818,1.083707,4.043227,231.564835,1.254568
45,7.140123,6.333548,521.375340,315.931174,2.799902,1.623219,6.753342,387.203541,2.076527,8.000000,5.300000,3.000000,526.918896,384.808777,321.104621,2.950801,2.617467,215.468940,130.564969,1.157116,0.670828,2.790956,160.019721,0.858167
46,7.140123,6.572399,422.726858,315.931174,2.276842,1.623219,6.847432,362.654286,1.940138,9.000000,5.800000,4.000000,425.903281,364.419628,319.020820,4.192253,3.858919,248.199889,185.495860,1.336825,0.953057,4.020402,212.928873,1.139133
47,7.140123,6.572399,422.726858,315.931174,2.283722,1.623219,6.834150,365.514885,1.959997,8.000000,6.200000,5.000000,425.918784,363.097540,319.029442,4.192253,3.858919,248.199889,185.495860,1.340865,0.953057,4.012604,214.608445,1.150793
48,7.140123,6.572399,422.726858,315.931174,2.280139,1.623219,6.849784,363.395923,1.932988,8.000000,6.350000,3.000000,425.910734,368.438435,319.025854,4.192253,3.858919,248.199889,185.495860,1.338761,0.953057,4.021783,213.364318,1.134935
49,7.140123,6.572399,422.726858,315.931174,2.315527,1.627567,6.816873,369.329016,1.980239,8.000000,6.150000,3.000000,425.981177,367.136938,319.060909,4.192253,3.858919,248.199889,185.495860,1.359539,0.955610,4.002460,216.847875,1.162678
